sentence,citation,title
"Breast tissue is composed of lobules that are glands involved in milk production, ducts that connect the lobules to the nipple and connective tissue, fatty tissue, and lymphatic tissue.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Breast cancer occurs when there is an unregulated growth of cells within any of the components of the breast, although this occurs most commonly in the lobules.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Although significantly less common, breast cancer can also occur among males.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Breast cancer develops over time and may go through an in situ phase.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Breast cancer incidence and mortality increase proportionally with age.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Younger age at menarche and older age at menopause increases breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Delayed childbearing, smaller family size, decreased duration of breastfeeding,and hormonal contraceptives have been linked to increased breast cancer risk.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Combined estrogen and progestin therapy increases the risk of developing breast cancer.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Based on current available information there is evidence to suggest that smoking prior to menopause increases breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Alcohol consumption has been linked to increased breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Breast cancer risk is decreased in women performing regular physicalactivity and in those who consume high amounts of fruits and vegetables.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Hereditary breast and ovarian cancer syndrome is usually caused by genetic mutations in one of two BReast CAncer (BRCA) susceptibility genes, BRCA1 and BRCA2.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Tumor suppressor genes are essential to the normal biophysiology of human function and development. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Tumor suppressor genes are key to regulating and inhibiting cell growth and proliferation. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Specific proteins are created from these genes that have numerous functions and specialize in DNA repair, initiating apoptosis, block tumor cell adhesion, and preventing metastasis. ","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Mutations can occur within these genes leading to inappropriate and dysfunctional proteins that are unable to perform effectively. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Once mutations occur, there is an increased risk of tumor formation and malignancy. ","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"Specific tumor Breast Cancer Epidemiology, Prevention, and Screening 11 suppressor genes, including the breast cancer genes, BRCA1 and BRCA2, are fundamental in cellular processes through genomic integrity and transcriptional regulation.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
148 Mutations within these two genes are linked to the development of breast and/or ovarian cancer. ,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
"These mutations can occur through an inherited, or sporadic process leading to malignancy.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.
Cancer of the breast is one of the most common neoplasms…,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
… and the leading cause of carcinoma deaths in women.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
Most breast malignancies arise from epithelial tissue…,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
… and are characterised as carcinomas.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
"Breast carcinomas are a diverse group of lesions that differ in microscopic appearance and biologic behavior, although these diverse disorders are often discussed as a single disease.","Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
Carcinoma in situ refers to a neoplastoc proliferation that is limited to ducts and lobules by the basement membrane.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
This distinction is primarly based upon the growth pattern and cytologic geatures of the lesions.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
Invasive carcinoma has penetrated through the basement membrane into the stroma.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
Here cells have the potential to invade into the vascalature and therby reach regional lymph nodes and distant sites.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
Ductal carcinoma (DCIS) in situ is characterised by a proliferation of abnormal cells confined within the mammary ductal system.,"Schatten, H. Cell and Molecular Biology of Breast Cancer. New York: Humana Press, 2013. Web.",Cell and Molecular Biology of Breast Cancer.
