,sentence,citation,title,unique_id
0,"Breast tissue is composed of lobules that are glands involved in milk production, ducts that connect the lobules to the nipple and connective tissue, fatty tissue, and lymphatic tissue.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,3dfce223-8e58-41d9-bb92-15ee4de70638
1,"Breast cancer occurs when there is an unregulated growth of cells within any of the components of the breast, although this occurs most commonly in the lobules.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,5530b5cb-c57c-48aa-a66e-ef35a875560f
2,"Although significantly less common, breast cancer can also occur among males.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,c591d917-75fe-4f94-aedd-5a9c4b9af5f4
3,Breast cancer develops over time and may go through an in situ phase.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,6414b7ea-2334-4f7b-8d06-0dc21d862381
4,Breast cancer incidence and mortality increase proportionally with age.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,ca4dc0ae-0336-4628-a490-c835059a7208
5,"Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,98f386bb-7d39-4b4d-8db1-22634af9329d
6,Younger age at menarche and older age at menopause increases breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,c109c9ef-7b6b-41ca-819f-6b241fffcea1
7,"Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,775ef692-cfb7-4c03-b5df-061005b68f59
8,"Delayed childbearing, smaller family size, decreased duration of breastfeeding,and hormonal contraceptives have been linked to increased breast cancer risk.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,a7032251-6124-4f37-9b01-48a333a8e013
9,Combined estrogen and progestin therapy increases the risk of developing breast cancer.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,f441a735-cb23-4a16-82e1-ed75366bf129
10,Based on current available information there is evidence to suggest that smoking prior to menopause increases breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,2f224366-a303-406d-9d7f-0c3456ad1b74
11,Alcohol consumption has been linked to increased breast cancer risk.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,28df6e01-af53-4287-ac2f-4f8bedfc8680
12,Breast cancer risk is decreased in women performing regular physicalactivity and in those who consume high amounts of fruits and vegetables.,"Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,2881768d-de5c-415d-9f88-b1651ca7a868
13,"Hereditary breast and ovarian cancer syndrome is usually caused by genetic mutations in one of two BReast CAncer (BRCA) susceptibility genes, BRCA1 and BRCA2.","Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print.",Approaches to Understanding Breast Cancer.,9b983af1-4073-48ee-b025-004677275d29
