unique_id,Statement,Resource,LoE/GoR,Consensus,Type,Section
c1bad423-c0bb-49dd-add3-a9400c324a41,"Visceral crisis is defined as severe organ dysfunction, as assessed by signs and symptoms, laboratory studies and rapid progression of disease. Visceral crisis is not the mere presence of visceral metastases but implies important organ compromise leading to a clinical indication for the most rapidly efficacious therapy.
Examples: Liver visceral crisis: rapidly increasing bilirubin >1.5x ULN in the absence of Gilbert's syndrome or biliary tract obstruction. Lung visceral crisis: rapidly increasing dyspnoea at rest, not alleviated by drainage of pleural effusion.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/n/a,97%,Guideline statement,ABC definitions
473820d0-e06e-4bf0-b8e6-10dab65a6f47,"Primary endocrine resistance is defined as relapse while on the first 2 years of adjuvant ET, or PD within the first 6 months of first-line ET for ABC, while on ET.
Secondary endocrine resistance is defined as relapse while on adjuvant ET but after the first 2 years, or relapse within 12 months of completing adjuvant ET, or PD >=6 months after initiating ET for ABC, while on ET.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/n/a,67%,Guideline statement,ABC definitions
410e267a-37a1-494f-a2d1-ad185503bfda,"Oligometastatic disease is defined as low-volume metastatic disease with limited number and size of metastatic lesions (up to five and not necessarily in the same organ), potentially amenable for local treatment aimed at achieving a complete remission status.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/n/a,78%,Guideline statement,ABC definitions
e31bb146-4cfc-484d-a11b-5ce923ff0a3c,"Patients with multiple chronic conditions are defined as patients with additional comorbidities (e.g. cardiovascular, impaired renal or liver function, autoimmune disease) making it difficult to account for all of the possible extrapolations to develop specific recommendations for care.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/n/a,100%,Guideline statement,ABC definitions
e2d10088-2b45-47be-a7d8-c56be875b23b,"Adequate OFS in the context of ABC
Adequate OFS for ABC premenopausal patients can be obtained through bilateral ovariectomy, continuous use of LHRH agonists or OFA through pelvic RT (the latter is not always effective and therefore is the least preferred option).
If an LHRH agonist is used in this age group, it should usually be given on a q4w basis to optimise OFS.
Efficacy of OFS must be initially confirmed analytically through serial evaluations of serum estradiol, even in the presence of amenorrhoea, especially if an AI is administered.
As all endocrine interventions for premenopausal patients with endocrine-responsive ABC require indefinite OFS, choosing one method over the other requires a balance of the patient's wish for potentially preserving fertility, compliance with frequent injections over a long period of time, risk of inadequate estrogen level suppression and cost.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.","I/A
II/B
Expert opinion/B","85%
85%
85%",Guideline statement,ABC definitions
09bb63db-46c4-42c5-8bf1-b9d1452d2ae8,"Maintenance therapy: in the context of ABC guidelines, maintenance therapy refers to the continuation of anti-HER2 therapy and/or ET after discontinuation of ChT.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/n/a,100%,Guideline statement,ABC definitions
3e756b7a-7ab5-4f42-bf39-b941a60ae625,Integrative medicine: complementary and integrative medicine (CIM) represents the use of complementary treatments side by side with conventional approaches in a proper therapeutic environment.,"Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/n/a,100%,Guideline statement,ABC definitions
120d38c6-6731-4761-9d89-146f013707e3,"The management of ABC is complex and, therefore, involvement of all appropriate specialties in a multidisciplinary team (including but not restricted to medical, radiation and surgical oncologists, imaging experts, pathologists, gynaecologists, psycho-oncologists, social workers, nurses and palliative care specialists) is crucial.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/A,100%,Guideline statement,General guidelines
58d08154-fa77-43ef-962d-e8131ee1846e,"From the time of diagnosis of ABC, patients should be offered appropriate psychosocial care, supportive care and symptom-related interventions as a routine part of their care. The approach must be personalised to meet the needs of the individual patient.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/A,100%,Guideline statement,General guidelines
ab8d873b-6e14-4ae8-a86d-d4aa840d828d,"Following a thorough assessment and confirmation of MBC, the potential treatment goals of care should be discussed. Patients should be told that MBC is incurable but treatable, and that some patients can live with MBC for extended periods of time (many years in some circumstances).
This conversation should be conducted in the accessible language, respecting patient privacy and cultural differences, and whenever possible, written information should be provided.","Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649.",Expert opinion/A,97%,Guideline statement,General guidelines
