unique_id,text,json_content,type
7ad547a7-2f2f-4d91-9b80-78e1a2b36596,"Visceral crisis is defined as severe organ dysfunction, as assessed by signs and symptoms, laboratory studies and rapid progression of disease. Visceral crisis is not the mere presence of visceral metastases but implies important organ compromise leading to a clinical indication for the most rapidly efficacious therapy.
Examples: Liver visceral crisis: rapidly increasing bilirubin >1.5x ULN in the absence of Gilbert's syndrome or biliary tract obstruction. Lung visceral crisis: rapidly increasing dyspnoea at rest, not alleviated by drainage of pleural effusion.","{""Statement"": ""Visceral crisis is defined as severe organ dysfunction, as assessed by signs and symptoms, laboratory studies and rapid progression of disease. Visceral crisis is not the mere presence of visceral metastases but implies important organ compromise leading to a clinical indication for the most rapidly efficacious therapy.\nExamples: Liver visceral crisis: rapidly increasing bilirubin >1.5x ULN in the absence of Gilbert's syndrome or biliary tract obstruction. Lung visceral crisis: rapidly increasing dyspnoea at rest, not alleviated by drainage of pleural effusion."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/n/a"", ""Consensus"": ""97%"", ""Type"": ""Guideline statement"", ""Section"": ""ABC definitions"", ""unique_id"": ""7ad547a7-2f2f-4d91-9b80-78e1a2b36596""}",guideline
bf204810-49d4-487f-8f75-e7e2534c13e5,"Primary endocrine resistance is defined as relapse while on the first 2 years of adjuvant ET, or PD within the first 6 months of first-line ET for ABC, while on ET.
Secondary endocrine resistance is defined as relapse while on adjuvant ET but after the first 2 years, or relapse within 12 months of completing adjuvant ET, or PD >=6 months after initiating ET for ABC, while on ET.","{""Statement"": ""Primary endocrine resistance is defined as relapse while on the first 2 years of adjuvant ET, or PD within the first 6 months of first-line ET for ABC, while on ET.\nSecondary endocrine resistance is defined as relapse while on adjuvant ET but after the first 2 years, or relapse within 12 months of completing adjuvant ET, or PD >=6 months after initiating ET for ABC, while on ET."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/n/a"", ""Consensus"": ""67%"", ""Type"": ""Guideline statement"", ""Section"": ""ABC definitions"", ""unique_id"": ""bf204810-49d4-487f-8f75-e7e2534c13e5""}",guideline
5d1b34c9-9250-4d7e-a36b-b8c6cec79b38,"Oligometastatic disease is defined as low-volume metastatic disease with limited number and size of metastatic lesions (up to five and not necessarily in the same organ), potentially amenable for local treatment aimed at achieving a complete remission status.","{""Statement"": ""Oligometastatic disease is defined as low-volume metastatic disease with limited number and size of metastatic lesions (up to five and not necessarily in the same organ), potentially amenable for local treatment aimed at achieving a complete remission status."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/n/a"", ""Consensus"": ""78%"", ""Type"": ""Guideline statement"", ""Section"": ""ABC definitions"", ""unique_id"": ""5d1b34c9-9250-4d7e-a36b-b8c6cec79b38""}",guideline
c3155aba-2835-4bb6-9013-0b0460ea503b,"Patients with multiple chronic conditions are defined as patients with additional comorbidities (e.g. cardiovascular, impaired renal or liver function, autoimmune disease) making it difficult to account for all of the possible extrapolations to develop specific recommendations for care.","{""Statement"": ""Patients with multiple chronic conditions are defined as patients with additional comorbidities (e.g. cardiovascular, impaired renal or liver function, autoimmune disease) making it difficult to account for all of the possible extrapolations to develop specific recommendations for care."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/n/a"", ""Consensus"": ""100%"", ""Type"": ""Guideline statement"", ""Section"": ""ABC definitions"", ""unique_id"": ""c3155aba-2835-4bb6-9013-0b0460ea503b""}",guideline
5079513b-fd29-4f8f-b80c-072fc03c2d38,"Adequate OFS in the context of ABC
Adequate OFS for ABC premenopausal patients can be obtained through bilateral ovariectomy, continuous use of LHRH agonists or OFA through pelvic RT (the latter is not always effective and therefore is the least preferred option).
If an LHRH agonist is used in this age group, it should usually be given on a q4w basis to optimise OFS.
Efficacy of OFS must be initially confirmed analytically through serial evaluations of serum estradiol, even in the presence of amenorrhoea, especially if an AI is administered.
As all endocrine interventions for premenopausal patients with endocrine-responsive ABC require indefinite OFS, choosing one method over the other requires a balance of the patient's wish for potentially preserving fertility, compliance with frequent injections over a long period of time, risk of inadequate estrogen level suppression and cost.","{""Statement"": ""Adequate OFS in the context of ABC\nAdequate OFS for ABC premenopausal patients can be obtained through bilateral ovariectomy, continuous use of LHRH agonists or OFA through pelvic RT (the latter is not always effective and therefore is the least preferred option).\nIf an LHRH agonist is used in this age group, it should usually be given on a q4w basis to optimise OFS.\nEfficacy of OFS must be initially confirmed analytically through serial evaluations of serum estradiol, even in the presence of amenorrhoea, especially if an AI is administered.\nAs all endocrine interventions for premenopausal patients with endocrine-responsive ABC require indefinite OFS, choosing one method over the other requires a balance of the patient's wish for potentially preserving fertility, compliance with frequent injections over a long period of time, risk of inadequate estrogen level suppression and cost."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""I/A\nII/B\nExpert opinion/B"", ""Consensus"": ""85%\n85%\n85%"", ""Type"": ""Guideline statement"", ""Section"": ""ABC definitions"", ""unique_id"": ""5079513b-fd29-4f8f-b80c-072fc03c2d38""}",guideline
e2d0e273-44ed-49b2-ae4e-754cb6b6d775,"Maintenance therapy: in the context of ABC guidelines, maintenance therapy refers to the continuation of anti-HER2 therapy and/or ET after discontinuation of ChT.","{""Statement"": ""Maintenance therapy: in the context of ABC guidelines, maintenance therapy refers to the continuation of anti-HER2 therapy and/or ET after discontinuation of ChT."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/n/a"", ""Consensus"": ""100%"", ""Type"": ""Guideline statement"", ""Section"": ""ABC definitions"", ""unique_id"": ""e2d0e273-44ed-49b2-ae4e-754cb6b6d775""}",guideline
5a30796e-1165-4f7f-9fbe-431ae01d22a1,Integrative medicine: complementary and integrative medicine (CIM) represents the use of complementary treatments side by side with conventional approaches in a proper therapeutic environment.,"{""Statement"": ""Integrative medicine: complementary and integrative medicine (CIM) represents the use of complementary treatments side by side with conventional approaches in a proper therapeutic environment."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/n/a"", ""Consensus"": ""100%"", ""Type"": ""Guideline statement"", ""Section"": ""ABC definitions"", ""unique_id"": ""5a30796e-1165-4f7f-9fbe-431ae01d22a1""}",guideline
4c2bd125-f26b-4e6d-9738-756e69089e3d,"The management of ABC is complex and, therefore, involvement of all appropriate specialties in a multidisciplinary team (including but not restricted to medical, radiation and surgical oncologists, imaging experts, pathologists, gynaecologists, psycho-oncologists, social workers, nurses and palliative care specialists) is crucial.","{""Statement"": ""The management of ABC is complex and, therefore, involvement of all appropriate specialties in a multidisciplinary team (including but not restricted to medical, radiation and surgical oncologists, imaging experts, pathologists, gynaecologists, psycho-oncologists, social workers, nurses and palliative care specialists) is crucial."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/A"", ""Consensus"": ""100%"", ""Type"": ""Guideline statement"", ""Section"": ""General guidelines"", ""unique_id"": ""4c2bd125-f26b-4e6d-9738-756e69089e3d""}",guideline
d1ca3e93-c0a8-4e0f-9d1a-d0d31b5eb1e4,"From the time of diagnosis of ABC, patients should be offered appropriate psychosocial care, supportive care and symptom-related interventions as a routine part of their care. The approach must be personalised to meet the needs of the individual patient.","{""Statement"": ""From the time of diagnosis of ABC, patients should be offered appropriate psychosocial care, supportive care and symptom-related interventions as a routine part of their care. The approach must be personalised to meet the needs of the individual patient."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/A"", ""Consensus"": ""100%"", ""Type"": ""Guideline statement"", ""Section"": ""General guidelines"", ""unique_id"": ""d1ca3e93-c0a8-4e0f-9d1a-d0d31b5eb1e4""}",guideline
15eebbed-5855-4757-9bf2-f99936ae8d01,"Following a thorough assessment and confirmation of MBC, the potential treatment goals of care should be discussed. Patients should be told that MBC is incurable but treatable, and that some patients can live with MBC for extended periods of time (many years in some circumstances).
This conversation should be conducted in the accessible language, respecting patient privacy and cultural differences, and whenever possible, written information should be provided.","{""Statement"": ""Following a thorough assessment and confirmation of MBC, the potential treatment goals of care should be discussed. Patients should be told that MBC is incurable but treatable, and that some patients can live with MBC for extended periods of time (many years in some circumstances).\nThis conversation should be conducted in the accessible language, respecting patient privacy and cultural differences, and whenever possible, written information should be provided."", ""Resource"": ""Cardoso, F., Paluch-Shimon, S., Senkus, E., Curigliano, G., Aapro, M.S., Andre, F., Barrios, C.H., Bergh, J., Bhattacharyya, G.S., Biganzoli, L., Boyle, F., Cardoso, M., Carey, L.A., Cortes, J., Saghir, N.S., Elzayat, M., Eniu, A., Fallowfield, L., Francis, P.A., Gelmon, K., Gligorov, J., Haidinger, R., Harbeck, N., Hu, X., Kaufman, B., Kaur, R., Kiely, B.E., Kim, S., Lin, N.U., Mertz, S.A., Neciosup, S., Offersen, B.V., Ohno, S., Pagani, O., Prat, A., Penault-Llorca, F., Rugo, H.S., Sledge, G.W., Thomssen, C., Vorobiof, D.A., Wiseman, T., Xu, B., Norton, L., Costa, A., & Winer, E.P. (2020). 5th ESO-ESMO international consensus guidelines for advanced breast cancer (ABC 5). Annals of Oncology, 31, 1623 - 1649."", ""LoE/GoR"": ""Expert opinion/A"", ""Consensus"": ""97%"", ""Type"": ""Guideline statement"", ""Section"": ""General guidelines"", ""unique_id"": ""15eebbed-5855-4757-9bf2-f99936ae8d01""}",guideline
0abdc812-264b-4aa6-aa31-1d58cd1cbace,"Breast tissue is composed of lobules that are glands involved in milk production, ducts that connect the lobules to the nipple and connective tissue, fatty tissue, and lymphatic tissue.","{""Statement"": ""Breast tissue is composed of lobules that are glands involved in milk production, ducts that connect the lobules to the nipple and connective tissue, fatty tissue, and lymphatic tissue."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""0abdc812-264b-4aa6-aa31-1d58cd1cbace""}",statement
168e594e-ddb4-4e13-8a2f-dc8db627ca9b,"Breast cancer occurs when there is an unregulated growth of cells within any of the components of the breast, although this occurs most commonly in the lobules.","{""Statement"": ""Breast cancer occurs when there is an unregulated growth of cells within any of the components of the breast, although this occurs most commonly in the lobules."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""168e594e-ddb4-4e13-8a2f-dc8db627ca9b""}",statement
e21645e5-6184-4c4f-b3fe-c4a2df07ea20,"Although significantly less common, breast cancer can also occur among males.","{""Statement"": ""Although significantly less common, breast cancer can also occur among males."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""e21645e5-6184-4c4f-b3fe-c4a2df07ea20""}",statement
76e75d6e-4a6f-44cb-983a-16ae54dfa837,Breast cancer develops over time and may go through an in situ phase.,"{""Statement"": ""Breast cancer develops over time and may go through an in situ phase."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""76e75d6e-4a6f-44cb-983a-16ae54dfa837""}",statement
014f531c-e16c-41d5-94db-90f23db6bf86,Breast cancer incidence and mortality increase proportionally with age.,"{""Statement"": ""Breast cancer incidence and mortality increase proportionally with age."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""014f531c-e16c-41d5-94db-90f23db6bf86""}",statement
d279b1dc-f2d3-40d5-9fca-1f6506581a11,"Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis.","{""Statement"": ""Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""d279b1dc-f2d3-40d5-9fca-1f6506581a11""}",statement
3f2c489d-28d5-4c29-830f-34cc9a5f68b5,Younger age at menarche and older age at menopause increases breast cancer risk.,"{""Statement"": ""Younger age at menarche and older age at menopause increases breast cancer risk."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""3f2c489d-28d5-4c29-830f-34cc9a5f68b5""}",statement
9ede0067-e2ac-4ee3-893f-72a76b829984,"Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age.","{""Statement"": ""Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""9ede0067-e2ac-4ee3-893f-72a76b829984""}",statement
6401208a-41bc-4a49-8b34-7c2f2476a902,"Delayed childbearing, smaller family size, decreased duration of breastfeeding,and hormonal contraceptives have been linked to increased breast cancer risk.","{""Statement"": ""Delayed childbearing, smaller family size, decreased duration of breastfeeding,and hormonal contraceptives have been linked to increased breast cancer risk."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""6401208a-41bc-4a49-8b34-7c2f2476a902""}",statement
4d485afb-dfdf-431a-98b5-e6b2312c09f6,Combined estrogen and progestin therapy increases the risk of developing breast cancer.,"{""Statement"": ""Combined estrogen and progestin therapy increases the risk of developing breast cancer."", ""Resource"": ""Lakshmanaswamy, R. Approaches to Understanding Breast Cancer. First edition. London, United Kingdom: Academic Press is an imprint of Elsevier, 2017. Print."", ""unique_id"": ""4d485afb-dfdf-431a-98b5-e6b2312c09f6""}",statement
5a861681-e266-4f42-ab72-6c4ac540e36a,A33 : A type of monoclonal antibody used in cancer detection or therapy. Monoclonal antibodies are laboratory-produced substances that can locate and bind to cancer cells.,"{""term"": ""A33"", ""url_name"": ""a33"", ""definition"": ""A type of monoclonal antibody used in cancer detection or therapy. Monoclonal antibodies are laboratory-produced substances that can locate and bind to cancer cells."", ""resource"": ""https://www.cancer.gov/publications/dictionaries/cancer-terms"", ""url"": ""https://www.cancer.gov/publications/dictionaries/cancer-terms/def/a33"", ""type"": ""cancer_term"", ""unique_id"": ""5a861681-e266-4f42-ab72-6c4ac540e36a""}",cancer_term_definition
286c58a9-bc7f-43bd-8ee6-63e0470b6f78,A6 : A substance being studied in the treatment of cancer. A6 is a small piece of a protein called urokinase (an enzyme that dissolves blood clots or prevents them from forming). It is a type of antiangiogenesis agent and a type of antimetastatic agent. Also called urokinase plasminogen activator (uPA)-derived peptide A6.,"{""term"": ""A6"", ""url_name"": ""a6"", ""definition"": ""A substance being studied in the treatment of cancer. A6 is a small piece of a protein called urokinase (an enzyme that dissolves blood clots or prevents them from forming). It is a type of antiangiogenesis agent and a type of antimetastatic agent. Also called urokinase plasminogen activator (uPA)-derived peptide A6."", ""resource"": ""https://www.cancer.gov/publications/dictionaries/cancer-terms"", ""url"": ""https://www.cancer.gov/publications/dictionaries/cancer-terms/def/a6"", ""type"": ""cancer_term"", ""unique_id"": ""286c58a9-bc7f-43bd-8ee6-63e0470b6f78""}",cancer_term_definition
8925885a-b49c-4cc6-80df-46d0bdfbe8ed,AAP : An enzyme that is normally found in healthy kidneys. It may be found at high levels in the urine when there are kidney problems.  It is used as a biomarker to detect damage to the kidneys caused by drugs and other agents. It may also be used to diagnose certain kidney and liver disorders. Also called alanine aminopeptidase.,"{""term"": ""AAP"", ""url_name"": ""aap"", ""definition"": ""An enzyme that is normally found in healthy kidneys. It may be found at high levels in the urine when there are kidney problems.  It is used as a biomarker to detect damage to the kidneys caused by drugs and other agents. It may also be used to diagnose certain kidney and liver disorders. Also called alanine aminopeptidase."", ""resource"": ""https://www.cancer.gov/publications/dictionaries/cancer-terms"", ""url"": ""https://www.cancer.gov/publications/dictionaries/cancer-terms/def/aap"", ""type"": ""cancer_term"", ""unique_id"": ""8925885a-b49c-4cc6-80df-46d0bdfbe8ed""}",cancer_term_definition
