query,statement,unique_id,label
What is an enzyme?,"allele : One of two or more DNA sequences occurring at a particular gene locus. Typically one allele (“normal” DNA sequence) is common, and other alleles (mutations) are rare.",3a33b9b9-5b54-4039-b607-1cb6c8ebee1d,1
What is the life expectancy of someone with cancer?,"affected individual : In genetics, describes an individual who has a particular phenotypic trait or disease. The individual expresses the trait or has signs and symptoms of the disease.",6b80d3a4-4005-4fe5-8b73-2af7beec9eee,1
What is an enzyme?,A6 : A substance being studied in the treatment of cancer. A6 is a small piece of a protein called urokinase (an enzyme that dissolves blood clots or prevents them from forming). It is a type of antiangiogenesis agent and a type of antimetastatic agent. Also called urokinase plasminogen activator (uPA)-derived peptide A6.,286c58a9-bc7f-43bd-8ee6-63e0470b6f78,1
does cancer have protein?,"antioncogene : A type of gene that regulates cell growth. When an antioncogene is mutated, uncontrolled cell growth may occur. This may contribute to the development of cancer. Also called tumor suppressor gene.",2cf74d14-13ff-4451-9b0d-aa386559624a,1
What is an enzyme?,autosomal : Having to do with any of the 22 numbered pairs of chromosomes found in most human cells. Autosomal chromosomes are numbered 1-22. The sex chromosomes (X and Y chromosomes) determine whether an individual is male or female and are not considered autosomal chromosomes.,141a4304-6dde-443a-ad69-cd264a78f911,1
What is an enzyme?,"affected individual : In genetics, describes an individual who has a particular phenotypic trait or disease. The individual expresses the trait or has signs and symptoms of the disease.",6b80d3a4-4005-4fe5-8b73-2af7beec9eee,0
What is an enzyme?,AAP : An enzyme that is normally found in healthy kidneys. It may be found at high levels in the urine when there are kidney problems.  It is used as a biomarker to detect damage to the kidneys caused by drugs and other agents. It may also be used to diagnose certain kidney and liver disorders. Also called alanine aminopeptidase.,8925885a-b49c-4cc6-80df-46d0bdfbe8ed,0
What is an enzyme?,"abnormal : Not normal. Describes a state, condition, or behavior that is unusual or different from what is considered normal. An abnormal lesion or growth in or on the body may be benign (not cancer), precancerous or premalignant (likely to become cancer), or malignant (cancer).",81de4164-f839-409c-89cb-83cffa26d793,0
What is an enzyme?,"ablation : In medicine, the removal or destruction of a body part or tissue or its function. Ablation may be performed by surgery, hormones, drugs, radiofrequency, heat, or other methods.",33ac813f-d2e9-4f67-b2ce-510aac40a699,0
What is an enzyme?,"antioncogene : A type of gene that regulates cell growth. When an antioncogene is mutated, uncontrolled cell growth may occur. This may contribute to the development of cancer. Also called tumor suppressor gene.",2cf74d14-13ff-4451-9b0d-aa386559624a,0
What is an enzyme?,"abdominal ultrasound : A procedure used to examine the organs in the abdomen. An ultrasound transducer (probe) is pressed firmly against the skin of the abdomen. High-energy sound waves from the transducer bounce off tissues and create echoes. The echoes are sent to a computer, which makes a picture called a sonogram. Also called transabdominal ultrasound.",e3e7b8f1-8119-4896-8564-3d0a43a4fd1f,0
What is an enzyme?,"abdominal x-ray : An x-ray of the organs inside the abdomen. An x-ray is a type of radiation that can pass through the body and onto film, making pictures of areas inside the body. X-rays may be used to help diagnose disease.",c1b4ae68-515c-4278-9eee-2fd10b6c7d82,0
What is an enzyme?,ABCA1 pathway : Describes a group of proteins in a cell that work together to help remove extra cholesterol and certain fats from tissue in the body. Changes in the ABCA1 pathway may lead to diseases of the heart and blood vessels. Drugs or substances that affect this pathway are being studied in the prevention and treatment of some diseases.,d4e47834-d10e-4701-9fe8-37b2db10ac2d,0
What is an enzyme?,"Abegrin : A substance being studied in the treatment of some types of cancer and other conditions. Abegrin binds to a protein on the surface of blood vessels and may prevent the growth of new blood vessels that tumors need to grow. It may also prevent the spread of cancer. It is a type of antiangiogenesis agent, a type of metastasis inhibitor, and a type of monoclonal antibody. Also called etaracizumab, humanized monoclonal antibody MEDI-522, and MEDI-522.",384a0d2b-08d1-4a06-8e03-7c6383efd9de,0
What is an enzyme?,Breast cancer develops over time and may go through an in situ phase.,76e75d6e-4a6f-44cb-983a-16ae54dfa837,0
What is an enzyme?,"band : When chromosomes at a particular stage in cell division are stained using one of several laboratory techniques, a specific pattern of light and dark stripes (bands) appears when the chromosomes are viewed through a microscope; the banding pattern assists in assigning each chromosome its particular number and evaluating its structure.",0d97ea99-12c3-4cfa-a32e-ca0ad7e5ee61,0
What is an enzyme?,A33 : A type of monoclonal antibody used in cancer detection or therapy. Monoclonal antibodies are laboratory-produced substances that can locate and bind to cancer cells.,5a861681-e266-4f42-ab72-6c4ac540e36a,0
What is an enzyme?,"abdominal : Having to do with the abdomen, which is the part of the body between the chest and the hips that contains the pancreas, stomach, intestines, liver, gallbladder, and other organs.",7a5da3db-4060-4aea-832b-1992892c66e5,0
What is an enzyme?,"carrier rate : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier rate also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier frequency.",ae7b135f-4983-41b1-b7dd-f2607de9995e,0
What is an enzyme?,"carrier frequency : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier frequency also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier rate.",00cfd76f-9b3e-4d45-956d-a87cb60c1e2d,0
What is an enzyme?,"attributable risk : Proportion of a disease in exposed individuals that can be attributed to an exposure. In the context of genetic studies, the ""exposure"" is the frequency of a specific genetic variant.",abb94877-27bf-42fb-acda-7f27f071f453,0
What is an enzyme?,"aneuploidy : The occurrence of one or more extra or missing chromosomes leading to an unbalanced chromosome complement, or any chromosome number that is not an exact multiple of the haploid number (which is 23).",4b48012d-e162-487e-849c-c92004001665,0
What is the life expectancy of someone with cancer?,"Following a thorough assessment and confirmation of MBC, the potential treatment goals of care should be discussed. Patients should be told that MBC is incurable but treatable, and that some patients can live with MBC for extended periods of time (many years in some circumstances).
This conversation should be conducted in the accessible language, respecting patient privacy and cultural differences, and whenever possible, written information should be provided.",15eebbed-5855-4757-9bf2-f99936ae8d01,0
What is the life expectancy of someone with cancer?,"Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age.",9ede0067-e2ac-4ee3-893f-72a76b829984,0
What is the life expectancy of someone with cancer?,"abnormal : Not normal. Describes a state, condition, or behavior that is unusual or different from what is considered normal. An abnormal lesion or growth in or on the body may be benign (not cancer), precancerous or premalignant (likely to become cancer), or malignant (cancer).",81de4164-f839-409c-89cb-83cffa26d793,0
What is the life expectancy of someone with cancer?,"attributable risk : Proportion of a disease in exposed individuals that can be attributed to an exposure. In the context of genetic studies, the ""exposure"" is the frequency of a specific genetic variant.",abb94877-27bf-42fb-acda-7f27f071f453,0
What is the life expectancy of someone with cancer?,autosomal : Having to do with any of the 22 numbered pairs of chromosomes found in most human cells. Autosomal chromosomes are numbered 1-22. The sex chromosomes (X and Y chromosomes) determine whether an individual is male or female and are not considered autosomal chromosomes.,141a4304-6dde-443a-ad69-cd264a78f911,0
What is the life expectancy of someone with cancer?,Breast cancer develops over time and may go through an in situ phase.,76e75d6e-4a6f-44cb-983a-16ae54dfa837,0
What is the life expectancy of someone with cancer?,"Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis.",d279b1dc-f2d3-40d5-9fca-1f6506581a11,0
What is the life expectancy of someone with cancer?,"carrier rate : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier rate also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier frequency.",ae7b135f-4983-41b1-b7dd-f2607de9995e,0
What is the life expectancy of someone with cancer?,"allele : One of two or more DNA sequences occurring at a particular gene locus. Typically one allele (“normal” DNA sequence) is common, and other alleles (mutations) are rare.",3a33b9b9-5b54-4039-b607-1cb6c8ebee1d,0
What is the life expectancy of someone with cancer?,"carrier frequency : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier frequency also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier rate.",00cfd76f-9b3e-4d45-956d-a87cb60c1e2d,0
What is the life expectancy of someone with cancer?,AAP : An enzyme that is normally found in healthy kidneys. It may be found at high levels in the urine when there are kidney problems.  It is used as a biomarker to detect damage to the kidneys caused by drugs and other agents. It may also be used to diagnose certain kidney and liver disorders. Also called alanine aminopeptidase.,8925885a-b49c-4cc6-80df-46d0bdfbe8ed,0
What is the life expectancy of someone with cancer?,"abdominal x-ray : An x-ray of the organs inside the abdomen. An x-ray is a type of radiation that can pass through the body and onto film, making pictures of areas inside the body. X-rays may be used to help diagnose disease.",c1b4ae68-515c-4278-9eee-2fd10b6c7d82,0
