query,statement,unique_id,label
Does genetics affect breast cancer?,Combined estrogen and progestin therapy increases the risk of developing breast cancer.,4d485afb-dfdf-431a-98b5-e6b2312c09f6,1
What is breast cancer?,"Breast cancer occurs when there is an unregulated growth of cells within any of the components of the breast, although this occurs most commonly in the lobules.",168e594e-ddb4-4e13-8a2f-dc8db627ca9b,1
What is breast cancer?,Breast cancer develops over time and may go through an in situ phase.,76e75d6e-4a6f-44cb-983a-16ae54dfa837,1
What is breast cancer?,Breast cancer incidence and mortality increase proportionally with age.,014f531c-e16c-41d5-94db-90f23db6bf86,1
Does genetics affect breast cancer?,"Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age.",9ede0067-e2ac-4ee3-893f-72a76b829984,1
What is breast cancer?,"Although significantly less common, breast cancer can also occur among males.",e21645e5-6184-4c4f-b3fe-c4a2df07ea20,1
Does genetics affect breast cancer?,Breast cancer develops over time and may go through an in situ phase.,76e75d6e-4a6f-44cb-983a-16ae54dfa837,0
Does genetics affect breast cancer?,"antioncogene : A type of gene that regulates cell growth. When an antioncogene is mutated, uncontrolled cell growth may occur. This may contribute to the development of cancer. Also called tumor suppressor gene.",2cf74d14-13ff-4451-9b0d-aa386559624a,0
Does genetics affect breast cancer?,"Breast cancer occurs when there is an unregulated growth of cells within any of the components of the breast, although this occurs most commonly in the lobules.",168e594e-ddb4-4e13-8a2f-dc8db627ca9b,0
Does genetics affect breast cancer?,"Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis.",d279b1dc-f2d3-40d5-9fca-1f6506581a11,0
Does genetics affect breast cancer?,"carrier rate : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier rate also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier frequency.",ae7b135f-4983-41b1-b7dd-f2607de9995e,0
Does genetics affect breast cancer?,admixture mapping : A method used to identify genetic variants associated with traits and/or diseases in ethnic groups whose genomes resulted from a recent mixture of two or more geographically distinct ancestral populations.,e35ebfde-5e6f-4831-9253-14feca2db48b,0
Does genetics affect breast cancer?,"carrier frequency : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier frequency also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier rate.",00cfd76f-9b3e-4d45-956d-a87cb60c1e2d,0
Does genetics affect breast cancer?,aberrant crypt foci : Clusters of abnormal tube-like glands in the lining of the colon and rectum. Aberrant crypt foci form before colorectal polyps and are one of the earliest changes that can be seen in the colon that may lead to cancer. Also called ACF.,38871455-27f8-47ec-aeb6-a6b5709e980c,0
Does genetics affect breast cancer?,ABCA1 pathway : Describes a group of proteins in a cell that work together to help remove extra cholesterol and certain fats from tissue in the body. Changes in the ABCA1 pathway may lead to diseases of the heart and blood vessels. Drugs or substances that affect this pathway are being studied in the prevention and treatment of some diseases.,d4e47834-d10e-4701-9fe8-37b2db10ac2d,0
Does genetics affect breast cancer?,"Although significantly less common, breast cancer can also occur among males.",e21645e5-6184-4c4f-b3fe-c4a2df07ea20,0
Does genetics affect breast cancer?,"Following a thorough assessment and confirmation of MBC, the potential treatment goals of care should be discussed. Patients should be told that MBC is incurable but treatable, and that some patients can live with MBC for extended periods of time (many years in some circumstances).
This conversation should be conducted in the accessible language, respecting patient privacy and cultural differences, and whenever possible, written information should be provided.",15eebbed-5855-4757-9bf2-f99936ae8d01,0
Does genetics affect breast cancer?,"abemaciclib : A drug used to treat hormone-receptor positive (HR+), HER2-negative (HER2-) breast cancer that is advanced or has spread to other parts of the body. It is used with an aromatase inhibitor in postmenopausal women who have not been treated with hormone therapy. It is used with fulvestrant in women whose disease got worse after treatment with hormone therapy. Abemaciclib is also used alone in men and women whose disease got worse after treatment with hormone therapy and previous chemotherapy. It is also being studied in the treatment of other types of cancer. Abemaciclib blocks certain proteins, which may help keep cancer cells from growing. It is a type of cyclin-dependent kinase inhibitor. Also called Verzenio.",199514ae-a7ab-4943-8149-c0f51dda8189,0
